type,activity,sex_,injury,fatal_(y/n),species_
Invalid,Scuba Diving,M,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,Shark involvement prior to death not confirmed
Unprovoked,Surfing,F,Calf bitten,N,
Unprovoked,Paddle boarding,F,Laceration to calf,N,
Unprovoked,Swimming,F,Minor injury to left hand,N,
Unprovoked,Swimming,M,Foot injured,N,
Unprovoked,Swimming,F,"Thigh nipped, minor injury",N,
Unprovoked,Kakaying,M,"No injury, shark bit off stern of kayak",N,
Unprovoked,Swimming,F,Lacerations to thighs,N,"Bull shark, 5' to 7'"
Unprovoked,Surfing,M,Minor injury to left foot,N,
Unprovoked,Body boarding,M,Minor,N,
Boating,Kayaking,M,"No injury, kayak bitten",N,White shark
Unprovoked,Spearfishing,M,Right thigh injured ,N,10' shark
Unprovoked,Washing hands,M,Abrasions & lacerations to left leg and hand,N,Lemon shark
Unprovoked,Snorkeling,F,Hand bitten,N,"Bull shark, 1.5"
Unprovoked,Surfing,M,"No injury, shark struck board",N,
Unprovoked,Body boarding,M,Fatal,Y,
Unprovoked,Spearfishing,M,Left leg severely bitten,N,
Unprovoked,Swimming,M,Injury to hand,N,
Provoked,Grabbing shark for a selfie,F,"Minor injury to finger, PROVOKED INCIDENT",N,Lemon shark pup
Boating,Kayak fishing,M,"Shark damaged kayak, no injury to occupant",N,Tiger shark
Boating,Tagging sharks,,"Shark bit boat, no injury to occupants",N,"White shark, female, 14'"
Unprovoked,Scuba Diving,M,Lacerations to upper right arm,N,Caribbean reef shark
Unprovoked,Swimming,M,Minor laceration to ring finger,N,
Unprovoked,,M,Puncture wounds to lower arm or hand,N,
Unprovoked,Scuba Diving,M,"Multiple injuries to arm, wrist and torso",N,"Bull shark, 4 m"
Unprovoked,Swimming,M,Injury to hand,N,
Unprovoked,,M,Minor injury to hand,N,
Unprovoked,Surfing,M,Injury to right wrist & forearm,N,"Bull shark, 1 m"
Invalid,Spearfishing,M,"No attack, shark made a threat display",,Bull shark
Unprovoked,Wading,M,Minor injuries to foot,N,
Invalid,Wading,M,Minor injuries to foot & toes,,Shark involvement not confirmed
Unprovoked,Surfing,M,Lacerations to right forearm,N,
Unprovoked,Snorkeling,F,Buttock bitten,N,a small shark
Unprovoked,Surf skiing ,M,"No injury, but ski severely damaged",N,"White shark, 4 m"
Unprovoked,Free diving,M,Punctures to left foot/ankle,N,
Unprovoked,Fishing,M,Hand injured?,N,
Invalid,Surfing,M,Cuts to right ankle & foot,,Shark involvement not confirmed
Provoked,Surf fishing,M,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,"Wobbegong shark, 2m"
Unprovoked,Surfing,M,Injuries to foot & arm,N,White shark
Provoked,Fishing,M,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,"Broadnose sevengill shark, 1.5 m"
Unprovoked,Floating,F,Injuries to right calf and thigh,N,Tiger shark
Unprovoked,Surfing,M,Lacerations to right foot and ankle,N,
Unprovoked,Surfing,M,Lacerations to right hand,N,
Unprovoked,Surfing,M,Lacerations to left thigh,N,
Unprovoked,Surfing,M,Left arm and leg injured,N, 6' to 8' shark
Unprovoked,Surfing,M,Torso nipped,N,
Unprovoked,Snorkeling,F,Injuries to left calf,N,
Invalid,Cage Diving,M,"Shark breached cage, no injury to diver",,White shark
Unprovoked,Surfing,M,Minor wound to lower right leg & surfboard bitten,N,
Unprovoked,Surfing,M,Wounds to upper thigh and lower leg,N,
Unprovoked,Surfing,M,Cuts to dorsal surface of left foot,N,
Unprovoked,Surfng,M,Minor injuries,N,
Unprovoked,Surfing,M,4 deep lacerations to thigh,N,"White shark, 3.5 m"
Unprovoked,Surfing,M,Minor injury to thigh,N,
Unprovoked,Surfing,M,Lacerations to hands,N,
Unprovoked,Surfing,M,Lacerations to lower leg,N,
Unprovoked,Surfing,M,"No injury, board bitten",N,
Unprovoked,Surfing,M,Struck by fin on chest & leg,N,
Unprovoked,Surfing,M,No injury: Knocked off board by shark,N,2 m shark
Boating,Fishing,,Shark rammed boat. No injury to occupant,N,
Unprovoked,Wading,M,Minor injury to arm,N,3' to 4' shark
Unprovoked,Swimming,F,Severe lacerations to shoulder & forearm,N,"Tiger shark, 10'"
Unprovoked,Kite surfing,M,FATAL,Y,
Unprovoked,Boogie boarding,F,Lacerations & punctures to lower right leg,N,
Unprovoked,Surfing,M,"No inury, board broken in half by shark",N,
Unprovoked,Body boarding,M,Foot bitten,N,
Unprovoked,Spearfishing,M,Two toes broken & lacerated,N,"White shark, 8' to 10'"
Invalid,Cage Diving,,"No injury to divers, white shark breached cage",,Invalid
Unprovoked,Surfing,M,Lacerations to right foot,N,"Bull shark, 6'"
Unprovoked,Surfing,M,Minor injury to ankle,N,
