type,activity,sex_,injury,fatal_(y/n),species_
Unprovoked,,,Survived,N,
Unprovoked,Swimming,M,"FATAL, coroner's Verdict: ""Death presumably through shark attack & drowning""",Y,
Unprovoked,Sitting in shallows,F,Foot bitten,N,Zambesi shark
Unprovoked,Standing,M,"Leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",N,"White shark, 2.5 m [8.25'] "
Unprovoked,Swimming,,Shoulder injured,N,White shark
Unprovoked,"Free diving, collecting shells",M,Right hand & torso lacerated,N,1.8 m [6'] grey reef shark
Unprovoked,,,Survived,N,
Unprovoked,Swimming,F,Right forearm bitten,N,"White shark, 3 m [10']rk"
Unprovoked,,M,FATAL,Y,
Unprovoked,Freedom Swimming,M,"Left leg severely bitten, surgically amputated",N,
Provoked,,,PROVOKED INCIDENT,N,
Unprovoked,Surfing,M,"Right shoulder, arm & hand bitten",N,5' to 6' shark
Unprovoked,Swimming,M,Wrist & hand lacerated,N,1.5 m to 2 m shark
Unprovoked,Scuba diving,M,Bitten on legs,N,"White shark, 5 m to 6 m [16.5' to 20']  "
Unprovoked,Surfing,,Left foot injured,N,
Unprovoked,Swimming,M,FATAL,Y,White shark
Unprovoked,Fishing,M," FATAL. Shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",Y,
Provoked,Scuba diving & feeding fish,M,Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT,N,"Grey nurse shark, 11'"
Unprovoked,Wading,M,Laceration to left ankle,N,
Unprovoked,Hookah diving (submerged),M,"Major injuries to head, buttocks & back",N,"White shark, 5.5 m to 6 m [18' to 20'] "
Unprovoked,Surfing,M,Leg & surfboard bitten,N,"White shark, 3 m [10'], species identity confirmed by witnesses & tooth pattern in leg & board "
Unprovoked,Scuba diving,M,"No injury, said to have been attacked by shark but drove it away with a lobster hook",N,3.6 m  porbeagle shark
Unprovoked,Swimming,M,Right foot bitten,N,"2 m [6'9""] shark"
Unprovoked,Swimming,M,"FATAL, multiple bites ",Y,White shark according to tooth pattern and witnesses
Unprovoked,Surfing,M,"FATAL, left thigh bitten ",Y,
Unprovoked,,M,"FATAL, body not recovered",Y,
Unprovoked,,M,"FATAL, body not recovered",Y,
Sea Disaster,Wreck of the 1689-ton Portuguese  coaster Angoche,,"FATAL, it was  thought  the surviving crew  were taken by sharks",Y,
Unprovoked,Surfing,M,Lacerations to left leg ,N,"White shark, 4.6 m [15'] "
Unprovoked,Swimming,M,Torso lacerated,N,
Unprovoked,Surfing,M,Severe lacerations to thigh,N,White shark
Unprovoked,,M,Survived,N,
Unprovoked,,M,Survived,N,
Unprovoked,Fishing for prawns,M,"FATAL, arm severed  ",Y,
Unprovoked,Fishing for prawns,M,"FATAL, decapitated and arm severed",Y,
Unprovoked,Fishing,M,Laceration to thigh,N,1.8 m shark
Sea Disaster,Shipwreck,M,Right thigh lacerated,N,
Unprovoked,Body surfing,M,Shoulder & arm bitten,N,
Unprovoked,Surfing,M,Bitten on right leg above the ankle,N,
Unprovoked,Diving,M,Lacerations & punctures to right arm & shoulder ,N,1.8 to 2 m C. albimarginatus
Provoked,Spearfishing,M,"Another diver shot shark, shark bit his left foream  PROVOKED INCIDENT",N,1 m shark
Unprovoked,Floating on a raft,M,Laceration to left foot,N,
Provoked,,M,PROVOKED INCIDENT,N,
Unprovoked,Swimming,M,Foot lacerated,N,"""Dog shark"""
Unprovoked,Scuba diving,M,Calf / knee injured?,N,
Invalid,Sea Disaster Sinking of ferryboat Christina,,"Sharks scavenged on bodies, but no record of them injuring survivors ",,Shark involvement prior to death was not confirmed
Unprovoked,,M,Finger or toe severed,N,Mako shark
Provoked,Fishing,M,Bitten on calf by hooked shark PROVOKED INCIDENT,N,7.5' shark
Provoked,Scuba Diving,M,2 cm laceration on knee PROVOKED INCIDENT,N,"Raggedtooth shark, 2 m [6'9""], 5-year-old, captive female "
Unprovoked,Wading,M,"FATAL, multiple injuries to both legs  ",Y,
Unprovoked,Wading,M,"FATAL, body not recovered",Y,
Sea Disaster,Motor launch Baby Princesa capsized with 22 people on board,,"2 people survived, 6 drowned & the others were killed by sharks",Y,
Unprovoked,Swimming,M,"FATAL, body not recovered",Y,
Provoked,Freediving,M,Arm abraded & lacerated. Recorded as PROVOKED INCIDENT,N,Wobbegong shark 
Unprovoked,Swimming,M,No details,UNKNOWN,Wobbegong shark
Invalid,Body surfing,M,"Swept out to sea,  5.5 m [18'] shark seen in the vicinity, body not recovered. ",,Shark involvement prior to death was not confirmed
Unprovoked,Wading,M,Foot & calf lacerated,N,
Unprovoked,Wading,F,Lacerations to lower leg,N,Carpet shark
Unprovoked,Swimming,M,"Hands severed, forearm severely lacerated",N,
Unprovoked,Swimming,M,Leg severed at knee,N,Zambesi shark
Unprovoked,Swimming,M,"Arm severed, thigh bitten",N,Zambesi shark
Unprovoked,Swimming,M,Leg severed at knee,N,Zambesi shark
Sea Disaster,Air disaster,M,FATAL,Y,
Unprovoked,Swimming,M,Leg bitten,N,
Unprovoked,Attempted to return injured shark to the sea,M,Leg bitten,N,8' blue shark
Unprovoked,Freediving,M,Lacerations to back,N,
Unprovoked,Spearfishing / freediving,M,Swim fins badly torn by the shark's teeth,N,
Unprovoked,Spearfishing,M,Minor injury,N,Blue shark
Boat,Fishing on a boat,M,No injury,N,White shark
Unprovoked,Spearfishing,M,No details,UNKNOWN,White shark
Unprovoked,Washing cooking pans,F,Left hand severed,N,
Unprovoked,Washing clothes on stairs,F,Left foot severed,N,
Unprovoked,Swimming,M,"FATAL, left leg severed",Y,
Unprovoked,"Fishing, trying to catch the end of his fishing line",M,Left hand bitten,N,
Unprovoked,Swimming,M,Left thigh lacerated,N,
Unprovoked,Scuba diving for lobsters,M,"Abrasions on upper leg, laceration on ankle, scuba tank bitten",N,>2.4 m [8'] shark
Provoked,,M,PROVOKED INCIDENT,N,
Unprovoked,Diving,M,No injury,N,Oceanic whitetip shark
Unprovoked,Free diving for abalone,M,Leg & ankle severely bitten,N,"White shark, 4.3 m 4.9 m [14' to 16'] "
Unprovoked,Floating on his back,M,Laceration to right leg,N,
Provoked,Fishing,M,Leg bitten by netted shark PROVOKED INCIDENT,N,
Unprovoked,Surfing,M,Lacerations to lower leg,N,
Unprovoked,Body surfing,M,Lacerations to right lower leg & left arm and hand,N,4' shark
Provoked,,M,Arm lacerated. Recorded as PROVOKED INCIDENT,N,
Provoked,,M,Scrape on head. Recorded as PROVOKED INCIDENT,N,Nurse shark
Unprovoked,Freediving for abalone (at surface),M,"Foot bitten, minor injury",N,"White shark, 5 m [16.5'] "
Unprovoked,Wading,M,No details,UNKNOWN,
Unprovoked,Diving,M,Multiple lacerations,N,
Unprovoked,Wading,M,No injury,N,
Provoked,Surf-fishing,M,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,N,2' to 3' shark
Provoked,Diving,M,Laceration to buttocks Recorded as PROVOKED INCIDENT,N,Nurse shark
Unprovoked,Surfing,M,,UNKNOWN,
Unprovoked,,,Survived,N,
Invalid,Netting pilchards,M,No injury,,"Considered a ""Doubtful"" incident"
Provoked,Fishing,M,Laceration to foot from dead shark PROVOKED INCIDENT,N,"Lemon shark, 9' "
Provoked,,M,Foot lacerated. Recorded as PROVOKED INCIDENT,N,Mako shark
Unprovoked,Surfing,M,Leg & surfboard bitten,N,"White shark, identified by tooth fragments in surfboard"
Provoked,Fishing,M,Lacerations to hand from hooked shark PROVOKED INCIDENT,N,7-gill shark
Invalid,Hard hat diving,M,No details,,Questionable incident
Unprovoked,Freediving,M,Abrasions and lacerations to lower right leg,N,
Unprovoked,,M,Minor injury ,N,Carpet shark
Provoked,Sight-seeing,,"No injury to occupants, shark grabbed prop, Leodorn hit shark with oar, shark bit oar in half PROVOKED INCIDENT",N,10' shark
Invalid,Freediving,M,No injury,,Questionable incident
Provoked,Feeding mullet to sharks,M,Laceration to finger by a captive shark PROVOKED INCIDENT,N,"Grey nurse shark, 10' "
Unprovoked,Surfing,M,"Hit in face by shark, arm abraded, surfboard bitten",N,White shark
Unprovoked,,M,Survived,N,White shark
Unprovoked,Spearfishing,M,"No injury, left elbow & torso bumped by sharks",N,"2 scalloped hammerhead sharks, 1.5 m & 1.8 m [5' & 6']"
Invalid,,M,No injury,,Questionable incident
Boat,Fishing,M,"Shark leapt into boat, landed on Hlope's back, then bit his left forearm",N,"90-kg ""blackfin"" shark"
Sea Disaster,Wreck of the Storm King,,Remains recovered days later from shark,,Shark involvement prior to death was not confirmed
Provoked,,M,Abrasion on shoulder Recorded as PROVOKED INCIDENT,N,
Provoked,,M,Calf injured Recorded as PROVOKED INCIDENT,N,
Unprovoked,Spearfishing using Scuba,M,Swim fin bitten,N,3 m [10'] bull shark
Sea Disaster,Sinking of the ferryboat Dumaguete ,,Survived,N,
Invalid,Surfing,,,,Shark involvement not confirmed
Unprovoked,Spearfishing,M,"FATAL, left leg bitten, femoral artery severed  ",Y,"White shark, 4.3 m [14'], (tooth fragment recovered)"
Unprovoked,Playing with a frisbee in the shallows,,"Shark bumped Colleen, the nudged Scott, then bit Frisbee & swam away with it",N,a small hammerhead shark
Unprovoked,Standing,M,Leg & arm bitten,N,
Unprovoked,Swimming,M,Finger severed,N,
Unprovoked,Leaving the water,,Hand lacerated,N,
Unprovoked,Dynamite fishing,M,Lacerations to head,N,2 m shark
Unprovoked,Free diving,M,Major injury to torso,N,"White shark, 4 m [13'] "
Unprovoked,Wading,M,Abrasions on lower leg,N,
Unprovoked,Spearfishing using Scuba,M,Swimfin & knee bitten,N,4m [13'] shark
Unprovoked,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,M,"FATAL, taken by shark  ",Y,
Invalid,,M,No injury,,Not authenticated
Unprovoked,Spearfishing,M,"Bumped shoulder, bit head",N,1.5 m to 2 m [5' to 6.75'] Caribbean reef shark 
Unprovoked,Clamming,M,Lacerations to lower right leg & andkle,N,
Unprovoked,,M,Arm severely lacerated,N,Blue shark
Invalid,Schooner sank during a storm,,"6 people rescued, 3 shark-scavenged bodies recovered, 14 people lost ",,Shark involvement not confirmed
Unprovoked,Standing,M,Lower leg severely lacerated,N,
Invalid,Wading,M,Foot severely injured,,Shark involvement not confirmed
Unprovoked,,M,"Buttock, both legs & arm bitten",N,2.7 m [9'] silky shark
Unprovoked,"Diving. Shark swallowed his hand, so he threw his other around the shark and went shark-back riding for 30 yards until the shark opened its jaws",M,Hand lacerated,N,"Bronze whaler shark, 1.8 m [6'] "
Unprovoked,Swimming,M,FATAL Laceration to chest,Y,
Provoked,,M,Foot lacerated Recorded as PROVOKED INCIDENT,N,"""Blue whaler"" (Galeolamna)"
Unprovoked,Wading & pushing dinghy toward  the shallows,M,Left thigh lacerated,N,1.5 m to 1.8m [5' to 6'] shark
Unprovoked,Surfing,M,Foot lacerated,N,
Invalid,Treading water,M,No injury,,Invalid
Unprovoked,Surfing,M,Foot lacerated,N,
Unprovoked,Swimming,F,Thigh lacerated,N,
Provoked,Picking up shark by the tail,F,Wrist bitten PROVOKED INCIDENT,N,3' shark
Unprovoked,Spearfishing,M,"No injury, speargun bitten",N,"Bronze whaler shark, 3 m [10'] "
Unprovoked,,,Survived,N,
Unprovoked,Diving,,No injury,N,
Unprovoked,Swimming,,FATAL,Y,
Unprovoked,Swimming after his canoe capsized,M,FATAL,Y,
Invalid,Diving,,"Recovered, said to involve a 1m nurse shark",,Questionable incident
Invalid,Surfing,,,,Questionable incident
Unprovoked,Surfing,M,Right ankle & foot bitten,N,1.5 m to 1.8 m [5' to 6'] shark
Invalid,Spearfishing,M,No injury,,Questionable incident
Unprovoked,,M,Arm lacerated,N,
Unprovoked,Swimming,M,"FATAL, presumed taken by a shark, body not recovered",Y,
Provoked,,M,"Head, shoulder, arm lacerated. Recorded as PROVOKED INCIDENT",N,
Provoked,Freediving,M,Recorded as PROVOKED INCIDENT,N,Grey nurse shark
Unprovoked,,M,Arm lacerated,N,Grey nurse shark
Provoked,Freediving,M,Hand lacerated by speared shark PROVOKED INCIDENT,N,
Sea Disaster,Sinking of the M/V Mindoro during a typhoon,,Passengers taken by sharks,Y,
Invalid,,F,"Bones and brightly colored bangles recovered  3.35 m, 145.5-kg tiger sharks gut ",,Shark involvement prior to death was not confirmed
Unprovoked,Swimming,,FATAL,Y,
Unprovoked,Standing on sandbar,M,Left foot bitten,N,small blacktip shark
Unprovoked,Swimming,M,Arm & leg bitten,N,
Invalid,Boat capsized between O'ahu & Molokai,M,Remains found in a 3.4 m (11') tiger shark. Probable drowning & scavenging,,Shark involvement prior to death was not confirmed
Provoked,Scuba diving,M,"Diver shot the shark, then it injured his arm and broke his leg with its tail.  PROVOKED INCIDENT",,2 m shark
Provoked,Diving,,"No details, listed as PROVOKED INCIDENT",UNKNOWN,
Unprovoked,Spearfishing,,Survived,N,
Unprovoked,Spearfishing,M,FATAL,Y,
Unprovoked,Spearfishing,M,FATAL,Y,3.7 m [12'] shark
Provoked,Pulling shark from the water,M,Nipped on shoulder by captive shark PROVOKED INCIDENT,N,5' blue shark
Unprovoked,,M,FATAL,Y,
Unprovoked,Spearfishing on Scuba,M,Minor injuries to face & forearm,N,
Unprovoked,"Spearfishing, dived to pick up a float line",M,"FATAL, ""bitten in two""",Y,White shark
Unprovoked,Floating,F,Right foot abraded & lacerated,N,
Unprovoked,,M,3 fingers were bitten by a shark,N,
Invalid,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,"Disappeared, no trace of men or equipment, shark attack considered",,Shark involvement prior to death was not confirmed
Unprovoked,Spearfishing,M,Shark grasped thigh,N,"Nurse shark, 106 cm, 28-lb, male "
Unprovoked,Photographing sharks underwater using Scuba,M,"No injury, shark struck camera",N,1.5 m to 1.8 m [5' to 6'] sandbar shark
Unprovoked,Beach seine netting,M,Ankle bitten,N,1.8 m shark
Unprovoked,Snorkeling,M,Foot lacerated,N,
Unprovoked,Spearfishing,M,FATAL,Y,
Invalid,Surfing,M,Incident not confirmed,,Questionable incident
Provoked,Spearfishing,M,"After shark was speared & hit on head, it bit the divers foot  PROVOKED INCIDENT",N,"Nurse shark, 1 m "
Provoked,Fishing boat,M,"No injury to occupants,  harpooned shark sank boat PROVOKED INCIDENT",N,"White shark, 4 to 5 m [13' to 16.5'] "
Provoked,,M,Thigh abraded & lacerated Recorded as PROVOKED INCIDENT,N,Bronze whaler shark
Provoked,Feeding a shark,M,Recorded as PROVOKED INCIDENT,N,Grey nurse shark
Provoked,Fishing,M,Tooth knocked out by hooked shark PROVOKED INCIDENT,N,
Provoked,Freediving,M,Abrasions to lower leg Recorded as PROVOKED INCIDENT,N,
Unprovoked,Spearfishing,M,"Punctures in right buttock & thigh, abrasion on right forearm",N,"White shark, 3 m [10'] "
Provoked,Spearfishing,M,Speared shark lacerated his arm PROVOKED INCIDENT,N,Grey nurse shark
Invalid,Vehicle plunged over cliff into the water,,"Fatal or scavenging by ""a pack of sharks""",,Shark involvement prior to death was not confirmed
Unprovoked,Lifesaving drill,M,"FATAL, seen taken by a shark ",Y,Thought to involve a white shark
Unprovoked,,M,Leg bitten,N,3.7 m [12'] shark
Sea Disaster,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore  ,M,FATAL,Y,
Boat,Fishing for rock lobster,,"Holed & sank boat, 1 man flung into water but ignored by the shark",N,White shark or thresher shark
Provoked,Spearfishing Competition,M,"No injury, shark bit support boat, removing pieces of wood after Gerricke shot it  PROVOKED INCIDENT",N,2.1 m [7'] sandtiger shark
Unprovoked,Swimming in the channel,M,Right leg severely lacerated,N,
Provoked,Splashing,M,Foot bitten when he kicked shark PROVOKED INCIDENT,N,"""sand shark"""
Unprovoked,Fishing,M,"6"" laceration to left forearm ",N,2.1 m [7'] shark
Provoked,Spearfishing,M,The shark bit the diver's leg after he shot it  PROVOKED INCIDENT,N,"Grey nurse shark, 1.5 m [5'] "
Unprovoked,Spearfishing,M,Right hand lacerated,N,"Grey nurse shark, 1.5 m [5']"
Unprovoked,Wading,M,Thigh bitten,N,
Unprovoked,Spearfishing,M,Right leg bitten,N,1.8 m [6'] shark
Unprovoked,A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water,F,FATAL,Y,3.7 m [12'] shark
Unprovoked,Swimming,F,FATAL,Y,3.7 m [12'] shark
Unprovoked,Bathing,F,FATAL,Y,3.7 m [12'] shark
Unprovoked,"Free diving, carrying speargun",M,Shoulder lacerated,N,"Bronze whaler shark, 2.1 m [7'], a tooth was embedded in the speargun "
Provoked,Fishing,M,Left elbow or hand bitten PROVOKED INCIDENT,N,
Invalid,Spearfishing,M," The 2.9 m [9.5'] shark never made contact with him. No attack, no injury.",,Invalid
Provoked,Spearfishing,M,Involved a speared shark but no other details PROVOKED INCIDENT,UNKNOWN,
Unprovoked,Spearfishing,M,No injury,N,"Mako shark, 1.9 m [6.5'] "
Provoked,Hunting crayfish ,M,Abdomen abraded when he seized shark PROVOKED INCIDENT,N,"Nurse shark, 2.5' "
Invalid,Diving / UW photography,M,"2.4 to 3 m [8' to 10'] oceanic whitetip shark  buzzed him. No attack, no injury",,Invalid
Boat,,M,"No injury to occupant. Shark struck vessel, jamming centreboard",N,
Invalid,Netting sharks,M,"No attack, no injury to occupant: a 400-lb grey shark bit nets in the water ",,Invalid
Unprovoked,Snorkeling,F,"Survived, no details",N,
Unprovoked,Swimming,F,FATAL,Y,A pack of 6 sharks
Unprovoked,Diving into water,F,FATAL,Y,A pack of 6 sharks
Unprovoked,Swimming,M,FATAL,Y,White shark
Unprovoked,Lobster diving using Scuba,M,"No injury, but shark struck his calf",N,1.5 m to 2.1 m  [5' to 7'] shark
Unprovoked,Attacked shark with fists,M,Arm lacerated,N,"""small shark"""
Invalid,Spearfishing on Scuba,M,"No attack, no injury, shark took speared fish & approached diver closely ",,Invalid
Unprovoked,Wading,M,"No injury, mother lifted him from the water",N,Spinner or blacktip sharks
Unprovoked,Diving for sand dollars,M,Dorsum of right foot grazed,N,Lemon shark or sandtiger shark
Provoked,Killing a shark,M,"Arm bitten, PROVOKED INCIDENT",N,4' shark
Unprovoked,Fishing,M,Lacerations to right foot,N,
Unprovoked,Swimming,M,"FATAL, left leg severed",Y,
Unprovoked,Swimming,F,FATAL,Y,
Invalid,Free diving,M,No injury. A 1.1 m [3.5'] blacktip shark shark made a threat display & bit gig,,Invalid
Boat,,,"No injury to occupants, sharks bit chunks from boat",N,
Provoked,Clamming,M,3 lacerations on  right leg by speared fish PROVOKED INCIDENT,N,"Local authorities speculated that the water was too cold for sharks, but a 2.1 m [7'], 200-lb pregnant sandbar shark was caught next day"
Provoked,Fishing,M,Hand & forearm bitten by hooked shark PROVOKED INCIDENT,N,1.2 m [4'] hammerhead shark
Unprovoked,Swimming,M,Punctures on  thigh & buttock,N,a small shark
Provoked,Fishing,M,Arm lacerated by netted shark PROVOKED INCIDENT,N,
Sea Disaster,Sinking of the dredge World Atlas,M,FATAL,Y,
Unprovoked,Fishing,M,Foot bitten,N,1.8 m [6'] shark
Sea Disaster,Shipwreck,M,"FATAL, other human remains bitten by sharks, 13 people missing",Y,Believed white shark and other smaller species of sharks involved.
Invalid,Spearfishing / Scuba diving,M,"White shark, 3.7 m [12']  made threat display. No injury, no attack",,Invalid
Sea Disaster,The passenger ship Pioneer Cebu  capsized & sank in Typhoon Irma,M,130 perished; 136 survived  including a man whose foot was severed by a shark,Y,
Unprovoked,Swimming,M,Foot lacerated,N,
Sea Disaster,Overturned skiff,M,Survived,N,
Provoked,Fishing (big game),,"No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT",N,"Alleged to involve a White shark, 7.6 m [25'] "
Sea Disaster,"The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water.",M,FATAL,Y,
Unprovoked,Treading water,M,"Left leg & lower right leg bitten, taken ashore with shark still grasping his leg",N,"White shark, 2.5 m [8.25'], an immature female, previously injured"
Provoked,Helping men land a shark,M,Left leg lacerated by hooked shark  PROVOKED INCIDENT,N,Copper shark
Sea Disaster,wreck of the State Oil Company ship Permina,,Sharks said to have killed some of the 80 people lost,Y,
Unprovoked,Free diving / spearfishing (resting on the surface),M,"Hand, arm & thigh bitten",N,"White shark, 3 m [10'] "
Unprovoked,Spearfishing,M,Buttocks bitten,N,"Wobbegong shark, 5' "
Sea Disaster,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,,"10 survived, 51 perished. ",Y,Shark involvement not confirmed
Unprovoked,Standing,M,Right calf lacerated,N,1.5 m to 1.8 m [5' to 6'] Zambesi shark
Unprovoked,Jumped into the water,M,"Lower leg nipped, arm bruised when he landed in boat",N,76 cm [2.5'] carpet shark
Unprovoked,Body surfing,M,Lower legs bitten,N,"1.8 m to 2 m [6' to 6'9""] shark"
Unprovoked,Body surfing ,F,"FATAL, left leg bitten thigh to calf  ",Y,
Unprovoked,Swimming,M,Thigh gashed,N,Hammerhead shark
Invalid,Walking,F,Minor lacerations & abrasions to lower leg. ,,Shark involvement not confirmed
Unprovoked,"Spearfishing, but standing in knee-deep water",M,Thigh & swim fin bitten,N,1.8 m [6'] carpet shark
Unprovoked,Freediving,M,No injury,N,Grey reef shark
Boat,Fishing,,No injury to occupants. Shark  gouged planks of boat,N,15' shark
Provoked,Fishing from 34' boat when pulled overboard by hooked shark,M,FATAL PROVOKED INCIDENT,Y,4.6 m [15'] shark
Unprovoked,"Hauling dead shark aboard, when another shark leapt out of the water & bit him",M,"Left forearm bitten, surgically amputated",N,
Invalid,Argentine Air Force C-54,,2 life preservers had been bitten by sharks,,Shark involvement not confirmed
Unprovoked,Surfing,M,Puncture wounds to right thigh,N,"Grey nurse shark, 2.4 m [8'] "
Unprovoked,The boat Caribou II sank,M,Survived,N,
Unprovoked,Sunbathing on beach when he saw child being attacked by the shark,M,Right arm & right leg bitten,N,"1.8 m [6'], 180-lb shark"
Unprovoked,Playing in the water,F,FATAL,Y,"1.8 m [6'], 180-lb shark"
Unprovoked,"Spearfishing, shot a turtle",M,FATAL,Y,2 sharks involved
Unprovoked,Wading,M,Toe severed,N,
Provoked,Spearing fish,M,"Minor injury, speared shark lacerated his kneecap & leg PROVOKED INCIDENT",N,"""small shark"""
Provoked,Fishing (rod & line),M,Leg & hand bitten by shark that had been speared by another fisherman PROVOKED INCIDENT,N,0.9 m [3'] shark
Unprovoked,,M,Leg & arm bitten,N,300-kg [662-lb] shark
Invalid,"Arsinoe, a French tanker",M,"One man was lost, but he may have drowned",,Shark involvement not confirmed
Unprovoked,Swimming,M,Right thigh lacerated,N,
Provoked,Attempting to anesthetize shark,M,Chest bitten PROVOKED INCIDENT,N,"Lemon shark, 0.5 m"
Unprovoked,Bathing,M,"FATAL, both legs severed ",Y,
Boat,,,"No injury to occupant, shark bit boat",N,
Invalid,Wading,M,Parallel lacerations on right calf. Thought to be a barracuda bite ,,Questionable incident
Invalid,"Diving, retrieving film package from Titan 3C rocket",M,"No injury, chased by 4.6 m [15'] oceanic whitetip sharks",,Invalid
Unprovoked,Swimming,M,"Right forearm severed, right leg bitten and surgically amputated",N,
Unprovoked,Spearfishing,M,Minor injury,N,
Unprovoked,Treading water,M,"FATAL, body not recovered",Y, 
Unprovoked,Swimming,M,"FATAL, left leg & right arm severed ",Y,
Unprovoked,Swimming,M,"FATAL, left arm & right leg severed ",Y,
Unprovoked,Standing,M,Leg bitten,N,
Unprovoked,Diving,M,Minor injury,N,
Unprovoked,Swimming,M,"Right arm severed, right leg bitten, not known if he survived",N,
Unprovoked,,M,"Thighs abraded, puncture wounds in dorsal surface of left hand",N,Bull shark
Invalid,Surfing,M,Drowned & his body was not recovered. Sharks seen in area later that day but no shark involvement in surfer's death,,Invalid
Unprovoked,Spearfishing,M,Left hand severely lacerated,N,"White shark, 10' to 12' "
Unprovoked,Walking on reef,M,Right leg bitten,N,"Tiger shark, tooth fragment recovered"
Unprovoked,Paddling on surfboard,M,Left hand punctured & lacerated,N,Blacktip or spinner shark
Invalid,Aircraft exploded,M,"All 16 onboard perished, recovery efforts hampered by sharks",,Shark involvement prior to death was not confirmed
Unprovoked,Free diving,M,Survived,N,Mako shark
Unprovoked,Treading water,M,"Abdomen, buttock, thigh, arm & hand bitten",N,"1.8 m [6'], 136-kg [300-lb] shark "
Unprovoked,Scuba diving,M,Punctures on left thigh,N,1.2 m [4'] shark
Invalid,Motor boat Rebel Belle lost,M,"Puncture marks on chest may have been post mortem, 4 other bodies in area were undamaged",,Shark involvement prior to death was not confirmed
Unprovoked,Paddling rescue ski,M,"No injury, ski bitten",N,"White shark, 3.7 m [12'] "
Unprovoked,Body surfing,M,Right thigh punctured,N,
Unprovoked,Swimming,M,Thigh gashed,N,1.5 m [5'] shark
Unprovoked,Free diving,M,FATAL,Y,4.9 m [16'] whaler
Unprovoked,Dangling feet in the water,M,Foot bitten,N,
Provoked,Surfing,M,Puncture wounds to foot when he stepped on a shark    PROVOKED INCIDENT,N,
Provoked,Collecting marine specimens,M,"No injury, shark tore his wetsuit after he grabbed it by the tail  PROVOKED INCIDENT",N,"Nurse shark, 0.94 m to 1.2 m [3' to 4'] "
Unprovoked,Standing in waist-deep water,M,Leg bitten three times,N,Small shark with white-tipped dorsal fin
Unprovoked,"Spearfishing, but standing in the water",M,Ankle and thigh bitten; shark made three strikes,N,"1.5 m to 2.1 m [5' to 7'] shark, possibly a mako shark"
Unprovoked,,M,FATAL. Said to have been killed by sorcerers that turned themselves into sharks. The alleged sorcerers were taken into custody by authorities but released  due to lack of evidence. ,Y,
Invalid,Bather,,No details,,Questionable incident
Unprovoked,Swimming,M,"Hand, ankle & calf lacerated",N,Raggedtooth shark 
Unprovoked,,M,Thigh severely lacerated,N,
Boat,Fishing,,"No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat",N,4.6 m [15'] shark
Unprovoked,"Canoe swamped, swimming back to canoe",M,Survived,N,2.1 m [7'] shark
Unprovoked,Fishing with hand line tied to wrist & was pulled into the water,M,FATAL,Y,
Unprovoked,Free diving with seals,M,Left leg severed,N,"White shark, 2.4 m [8'] "
Unprovoked,Swimming out to rescue swimmers in difficulty,M,FATAL,Y,
Provoked,"Filming underwater, carrying powerhead",M,"Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT",N,"White shark, 2.7 m [9'1""], 750-lb "
Boat,Longline fishing,,"No injury to occupant, shark bit propeller of outboard motor",N,Mako shark
Provoked,Surf fishing,M,Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT,N,
Invalid,Boat Miss Becky  sank 12 miles from shore,,"No injury to occupants, drove sharks away with paddles",,Invalid
Unprovoked,"Surfing, but swimming to his board",M,Abrasions & 11 teethmarks on right lower leg,N,"Grey nurse shark, 1.8 m [6']"
Invalid,Spearfishing,M,"Disappeared, probable drowning but sharks in area led to speculation that he was taken by a shark",,Shark involvement prior to death was not confirmed
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Swimming,M,Right thigh &  elbow bitten,N,1.8 m [6'] shark
Unprovoked,Swimming,M,Bruised & abraded ankle,N,
Unprovoked,Floating on his back in an inner tube,M,Right thigh bitten,N,1.8 to 2.4 m [6' to 8'] shark
Invalid,Spearfishing / free diving,M,3 m to 3.7 m [10' to 12']  great hammerhead shark shark only made a threat display. No injury,,Invalid
Unprovoked,Swimming,M,"No injury,  bumped repeatedly",N,3' shark
Unprovoked,Spearfishing using scuba,M,"No injury, shark hit scuba tank",N,Hammerhead shark
Unprovoked,Swimming,M,"Leg bitten, surgically amputated",N,
Unprovoked,Free diving / Spearfishingat edge of reef,M,Foot lacerated,N,Less than 1.2 m [4']
Provoked,,M,Arm lacerated by speared shark PROVOKED INCIDENT,N,Nurse shark
Unprovoked,Searching for remains of  Dr. Marais,M,"No injury, shark charged & impaled itself on spear",N,Zambesi shark
