type,activity,sex_,injury,fatal_(y/n),species_,shark_specie,activity_group,severity_group,body_group
Unprovoked,Wading,M,"FATAL, body not recovered",Y,empty,Unidentify,Wading,Undetermined,Undetermined
Sea Disaster,Motor launch Baby Princesa capsized with 22 people on board,,"2 people survived, 6 drowned & the others were killed by sharks",Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Swimming,M,"FATAL, body not recovered",Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Provoked,Freediving,M,Arm abraded & lacerated. Recorded as PROVOKED INCIDENT,N,Wobbegong shark ,Wobbegong Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,No details,,Wobbegong shark,Wobbegong Shark,Swimming,Undetermined,Undetermined
Invalid,Body surfing,M,"Swept out to sea,  5.5 m [18'] shark seen in the vicinity, body not recovered. ",,Shark involvement prior to death was not confirmed,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Wading,M,Foot & calf lacerated,N,empty,Unidentify,Wading,Amputations or Lacerations,Lower extremities
Unprovoked,Wading,F,Lacerations to lower leg,N,Carpet shark,Unidentify,Wading,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,"Hands severed, forearm severely lacerated",N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,Leg severed at knee,N,Zambesi shark,Bull Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,"Arm severed, thigh bitten",N,Zambesi shark,Bull Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,Leg severed at knee,N,Zambesi shark,Bull Shark,Swimming,Amputations or Lacerations,Lower extremities
Sea Disaster,Air disaster,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Swimming,M,Leg bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Attempted to return injured shark to the sea,M,Leg bitten,N,8' blue shark,Blue Shark,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Freediving,M,Lacerations to back,N,empty,Unidentify,Diving,Amputations or Lacerations,Torso
Unprovoked,Spearfishing / freediving,M,Swim fins badly torn by the shark's teeth,N,empty,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Spearfishing,M,Minor injury,N,Blue shark,Blue Shark,Diving,Minor or No injuries,Undetermined
Boating,Fishing on a boat,M,No injury,N,White shark,White Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Spearfishing,M,No details,,White shark,White Shark,Diving,Undetermined,Undetermined
Unprovoked,Washing cooking pans,F,Left hand severed,N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Washing clothes on stairs,F,Left foot severed,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,"FATAL, left leg severed",Y,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,"Fishing, trying to catch the end of his fishing line",M,Left hand bitten,N,empty,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,Left thigh lacerated,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Scuba diving for lobsters,M,"Abrasions on upper leg, laceration on ankle, scuba tank bitten",N,>2.4 m [8'] shark,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Provoked,empty,M,PROVOKED INCIDENT,N,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Diving,M,No injury,N,Oceanic whitetip shark,Whitetip Shark,Diving,Minor or No injuries,Undetermined
Unprovoked,Free diving for abalone,M,Leg & ankle severely bitten,N,"White shark, 4.3 m 4.9 m [14' to 16'] ",White Shark,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Floating on his back,M,Laceration to right leg,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Provoked,Fishing,M,Leg bitten by netted shark PROVOKED INCIDENT,N,empty,Unidentify,Fishing,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to lower leg,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Body surfing,M,Lacerations to right lower leg & left arm and hand,N,4' shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Provoked,empty,M,Arm lacerated. Recorded as PROVOKED INCIDENT,N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Provoked,empty,M,Scrape on head. Recorded as PROVOKED INCIDENT,N,Nurse shark,Nurse Shark,Other,Undetermined,Undetermined
Unprovoked,Freediving for abalone (at surface),M,"Foot bitten, minor injury",N,"White shark, 5 m [16.5'] ",White Shark,Board sports,Minor or No injuries,Lower extremities
Unprovoked,Wading,M,No details,,empty,Unidentify,Wading,Undetermined,Undetermined
Unprovoked,Diving,M,Multiple lacerations,N,empty,Unidentify,Diving,Amputations or Lacerations,Undetermined
Unprovoked,Wading,M,No injury,N,empty,Unidentify,Wading,Minor or No injuries,Undetermined
Provoked,Surf-fishing,M,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,N,2' to 3' shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Provoked,Diving,M,Laceration to buttocks Recorded as PROVOKED INCIDENT,N,Nurse shark,Nurse Shark,Diving,Amputations or Lacerations,Undetermined
Unprovoked,Surfing,M,empty,,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,empty,,Survived,N,empty,Unidentify,Other,Undetermined,Undetermined
Invalid,Netting pilchards,M,No injury,,"Considered a ""Doubtful"" incident",Unidentify,Other,Minor or No injuries,Undetermined
Provoked,Fishing,M,Laceration to foot from dead shark PROVOKED INCIDENT,N,"Lemon shark, 9' ",Lemon Shark,Fishing,Amputations or Lacerations,Lower extremities
Provoked,empty,M,Foot lacerated. Recorded as PROVOKED INCIDENT,N,Mako shark,Mako Shark,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Leg & surfboard bitten,N,"White shark, identified by tooth fragments in surfboard",White Shark,Board sports,Amputations or Lacerations,Lower extremities
Provoked,Fishing,M,Lacerations to hand from hooked shark PROVOKED INCIDENT,N,7-gill shark,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Invalid,Hard hat diving,M,No details,,Questionable incident,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Freediving,M,Abrasions and lacerations to lower right leg,N,empty,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,empty,M,Minor injury ,N,Carpet shark,Unidentify,Other,Minor or No injuries,Undetermined
Provoked,Sight-seeing,,"No injury to occupants, shark grabbed prop, Leodorn hit shark with oar, shark bit oar in half PROVOKED INCIDENT",N,10' shark,Unidentify,Other,Minor or No injuries,Undetermined
Invalid,Freediving,M,No injury,,Questionable incident,Unidentify,Diving,Minor or No injuries,Undetermined
Provoked,Feeding mullet to sharks,M,Laceration to finger by a captive shark PROVOKED INCIDENT,N,"Grey nurse shark, 10' ",Nurse Shark,Feeding Sharks,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,"Hit in face by shark, arm abraded, surfboard bitten",N,White shark,White Shark,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,empty,M,Survived,N,White shark,White Shark,Other,Undetermined,Undetermined
Unprovoked,Spearfishing,M,"No injury, left elbow & torso bumped by sharks",N,"2 scalloped hammerhead sharks, 1.5 m & 1.8 m [5' & 6']",Hammer Shark,Diving,Minor or No injuries,Upper extremities
Invalid,empty,M,No injury,,Questionable incident,Unidentify,Other,Minor or No injuries,Undetermined
Boating,Fishing,M,"Shark leapt into boat, landed on Hlope's back, then bit his left forearm",N,"90-kg ""blackfin"" shark",Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Sea Disaster,Wreck of the Storm King,,Remains recovered days later from shark,,Shark involvement prior to death was not confirmed,Unidentify,Boat incincidents,Undetermined,Undetermined
Provoked,empty,M,Abrasion on shoulder Recorded as PROVOKED INCIDENT,N,empty,Unidentify,Other,Undetermined,Upper extremities
Provoked,empty,M,Calf injured Recorded as PROVOKED INCIDENT,N,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Spearfishing using Scuba,M,Swim fin bitten,N,3 m [10'] bull shark,Bull Shark,Diving,Amputations or Lacerations,Undetermined
Sea Disaster,Sinking of the ferryboat Dumaguete ,,Survived,N,empty,Unidentify,Boat incincidents,Undetermined,Undetermined
Invalid,Surfing,,empty,,Shark involvement not confirmed,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Spearfishing,M,"FATAL, left leg bitten, femoral artery severed  ",Y,"White shark, 4.3 m [14'], (tooth fragment recovered)",White Shark,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Playing with a frisbee in the shallows,,"Shark bumped Colleen, the nudged Scott, then bit Frisbee & swam away with it",N,a small hammerhead shark,Hammer Shark,Other,Amputations or Lacerations,Undetermined
Unprovoked,Standing,M,Leg & arm bitten,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,Finger severed,N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Leaving the water,,Hand lacerated,N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Dynamite fishing,M,Lacerations to head,N,2 m shark,Unidentify,Fishing,Amputations or Lacerations,Undetermined
Unprovoked,Free diving,M,Major injury to torso,N,"White shark, 4 m [13'] ",White Shark,Diving,Undetermined,Torso
Unprovoked,Wading,M,Abrasions on lower leg,N,empty,Unidentify,Wading,Undetermined,Lower extremities
Unprovoked,Spearfishing using Scuba,M,Swimfin & knee bitten,N,4m [13'] shark,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,M,"FATAL, taken by shark  ",Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Invalid,empty,M,No injury,,Not authenticated,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,Spearfishing,M,"Bumped shoulder, bit head",N,1.5 m to 2 m [5' to 6.75'] Caribbean reef shark ,Caribean Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Clamming,M,Lacerations to lower right leg & andkle,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,empty,M,Arm severely lacerated,N,Blue shark,Blue Shark,Other,Amputations or Lacerations,Upper extremities
Invalid,Schooner sank during a storm,,"6 people rescued, 3 shark-scavenged bodies recovered, 14 people lost ",,Shark involvement not confirmed,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Standing,M,Lower leg severely lacerated,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Invalid,Wading,M,Foot severely injured,,Shark involvement not confirmed,Unidentify,Wading,Amputations or Lacerations,Lower extremities
Unprovoked,empty,M,"Buttock, both legs & arm bitten",N,2.7 m [9'] silky shark,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,"Diving. Shark ÂswallowedÂ his hand, so he threw his other around the shark and went Âshark-back ridingÂ for 30 yards until the shark opened its jaws",M,Hand lacerated,N,"Bronze whaler shark, 1.8 m [6'] ",Cooper Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,FATAL Laceration to chest,Y,empty,Unidentify,Swimming,Amputations or Lacerations,Torso
Provoked,empty,M,Foot lacerated Recorded as PROVOKED INCIDENT,N,"""Blue whaler"" (Galeolamna)",Cooper Shark,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Wading & pushing dinghy toward  the shallows,M,Left thigh lacerated,N,1.5 m to 1.8m [5' to 6'] shark,Unidentify,Wading,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Foot lacerated,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Invalid,Treading water,M,No injury,,Invalid,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Foot lacerated,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,F,Thigh lacerated,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Provoked,Picking up shark by the tail,F,Wrist bitten PROVOKED INCIDENT,N,3' shark,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Spearfishing,M,"No injury, speargun bitten",N,"Bronze whaler shark, 3 m [10'] ",Cooper Shark,Diving,Minor or No injuries,Undetermined
Unprovoked,empty,,Survived,N,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Diving,,No injury,N,empty,Unidentify,Diving,Minor or No injuries,Undetermined
Unprovoked,Swimming,,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming after his canoe capsized,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Invalid,Diving,,"Recovered, said to involve a 1m nurse shark",,Questionable incident,Unidentify,Diving,Undetermined,Undetermined
Invalid,Surfing,,empty,,Questionable incident,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Surfing,M,Right ankle & foot bitten,N,1.5 m to 1.8 m [5' to 6'] shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Invalid,Spearfishing,M,No injury,,Questionable incident,Unidentify,Diving,Minor or No injuries,Undetermined
Unprovoked,empty,M,Arm lacerated,N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,"FATAL, presumed taken by a shark, body not recovered",Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Provoked,empty,M,"Head, shoulder, arm lacerated. Recorded as PROVOKED INCIDENT",N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Provoked,Freediving,M,Recorded as PROVOKED INCIDENT,N,Grey nurse shark,Nurse Shark,Diving,Undetermined,Undetermined
Unprovoked,empty,M,Arm lacerated,N,Grey nurse shark,Nurse Shark,Other,Amputations or Lacerations,Upper extremities
Provoked,Freediving,M,Hand lacerated by speared shark PROVOKED INCIDENT,N,empty,Unidentify,Diving,Amputations or Lacerations,Upper extremities
Sea Disaster,Sinking of the M/V Mindoro during a typhoon,,Passengers taken by sharks,Y,empty,Unidentify,Other,Undetermined,Undetermined
Invalid,empty,F,"Bones and brightly colored bangles recovered  3.35 m, 145.5-kg tiger sharkÂs gut ",,Shark involvement prior to death was not confirmed,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Swimming,,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Standing on sandbar,M,Left foot bitten,N,small blacktip shark,Blacktip Shark,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,Arm & leg bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Invalid,Boat capsized between O'ahu & Molokai,M,Remains found in a 3.4 m (11') tiger shark. Probable drowning & scavenging,,Shark involvement prior to death was not confirmed,Unidentify,Boat incincidents,Undetermined,Undetermined
Provoked,Scuba diving,M,"Diver shot the shark, then it injured his arm and broke his leg with its tail.  PROVOKED INCIDENT",,2 m shark,Unidentify,Diving,Undetermined,Lower extremities
Provoked,Diving,,"No details, listed as PROVOKED INCIDENT",,empty,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Spearfishing,,Survived,N,empty,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Spearfishing,M,FATAL,Y,empty,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Spearfishing,M,FATAL,Y,3.7 m [12'] shark,Unidentify,Diving,Undetermined,Undetermined
Provoked,Pulling shark from the water,M,Nipped on shoulder by captive shark PROVOKED INCIDENT,N,5' blue shark,Blue Shark,Other,Undetermined,Upper extremities
Unprovoked,empty,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Spearfishing on Scuba,M,Minor injuries to face & forearm,N,empty,Unidentify,Diving,Minor or No injuries,Upper extremities
Unprovoked,"Spearfishing, dived to pick up a float line",M,"FATAL, ""bitten in two""",Y,White shark,White Shark,Diving,Amputations or Lacerations,Undetermined
Unprovoked,Floating,F,Right foot abraded & lacerated,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,empty,M,3 fingers were bitten by a shark,N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Invalid,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,"Disappeared, no trace of men or equipment, shark attack considered",,Shark involvement prior to death was not confirmed,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Spearfishing,M,Shark grasped thigh,N,"Nurse shark, 106 cm, 28-lb, male ",Nurse Shark,Diving,Undetermined,Lower extremities
Unprovoked,Photographing sharks underwater using Scuba,M,"No injury, shark struck camera",N,1.5 m to 1.8 m [5' to 6'] sandbar shark,Sand Shark,Other,Minor or No injuries,Undetermined
Unprovoked,Beach seine netting,M,Ankle bitten,N,1.8 m shark,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Snorkeling,M,Foot lacerated,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Spearfishing,M,FATAL,Y,empty,Unidentify,Diving,Undetermined,Undetermined
Invalid,Surfing,M,Incident not confirmed,,Questionable incident,Unidentify,Board sports,Undetermined,Undetermined
Provoked,Spearfishing,M,"After shark was speared & hit on head, it bit the diverÂs foot  PROVOKED INCIDENT",N,"Nurse shark, 1 m ",Nurse Shark,Diving,Amputations or Lacerations,Lower extremities
Provoked,Fishing boat,M,"No injury to occupants,  harpooned shark sank boat PROVOKED INCIDENT",N,"White shark, 4 to 5 m [13' to 16.5'] ",White Shark,Fishing,Minor or No injuries,Undetermined
Provoked,empty,M,Thigh abraded & lacerated Recorded as PROVOKED INCIDENT,N,Bronze whaler shark,Cooper Shark,Other,Amputations or Lacerations,Lower extremities
Provoked,Feeding a shark,M,Recorded as PROVOKED INCIDENT,N,Grey nurse shark,Nurse Shark,Feeding Sharks,Undetermined,Undetermined
Provoked,Fishing,M,Tooth knocked out by hooked shark PROVOKED INCIDENT,N,empty,Unidentify,Fishing,Undetermined,Undetermined
Provoked,Freediving,M,Abrasions to lower leg Recorded as PROVOKED INCIDENT,N,empty,Unidentify,Diving,Undetermined,Lower extremities
Unprovoked,Spearfishing,M,"Punctures in right buttock & thigh, abrasion on right forearm",N,"White shark, 3 m [10'] ",White Shark,Diving,Undetermined,Lower extremities
Provoked,Spearfishing,M,Speared shark lacerated his arm PROVOKED INCIDENT,N,Grey nurse shark,Nurse Shark,Diving,Amputations or Lacerations,Upper extremities
Invalid,Vehicle plunged over cliff into the water,,"Fatal or scavenging by ""a pack of sharks""",,Shark involvement prior to death was not confirmed,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Lifesaving drill,M,"FATAL, seen taken by a shark ",Y,Thought to involve a white shark,White Shark,Other,Undetermined,Undetermined
Unprovoked,empty,M,Leg bitten,N,3.7 m [12'] shark,Unidentify,Other,Amputations or Lacerations,Lower extremities
Sea Disaster,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore  ,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Boating,Fishing for rock lobster,,"Holed & sank boat, 1 man flung into water but ignored by the shark",N,White shark or thresher shark,White Shark,Fishing,Undetermined,Undetermined
Provoked,Spearfishing Competition,M,"No injury, shark bit support boat, removing pieces of wood after Gerricke shot it  PROVOKED INCIDENT",N,2.1 m [7'] sandtiger shark,Sand Shark,Diving,Minor or No injuries,Undetermined
Unprovoked,Swimming in the channel,M,Right leg severely lacerated,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Provoked,Splashing,M,Foot bitten when he kicked shark PROVOKED INCIDENT,N,"""sand shark""",Sand Shark,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Fishing,M,"6"" laceration to left forearm ",N,2.1 m [7'] shark,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Provoked,Spearfishing,M,The shark bit the diver's leg after he shot it  PROVOKED INCIDENT,N,"Grey nurse shark, 1.5 m [5'] ",Nurse Shark,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Spearfishing,M,Right hand lacerated,N,"Grey nurse shark, 1.5 m [5']",Nurse Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Wading,M,Thigh bitten,N,empty,Unidentify,Wading,Amputations or Lacerations,Lower extremities
Unprovoked,Spearfishing,M,Right leg bitten,N,1.8 m [6'] shark,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water,F,FATAL,Y,3.7 m [12'] shark,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,F,FATAL,Y,3.7 m [12'] shark,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Bathing,F,FATAL,Y,3.7 m [12'] shark,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,"Free diving, carrying speargun",M,Shoulder lacerated,N,"Bronze whaler shark, 2.1 m [7'], a tooth was embedded in the speargun ",Cooper Shark,Diving,Amputations or Lacerations,Upper extremities
Provoked,Fishing,M,Left elbow or hand bitten PROVOKED INCIDENT,N,empty,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Invalid,Spearfishing,M," The 2.9 m [9.5'] shark never made contact with him. No attack, no injury.",,Invalid,Unidentify,Diving,Minor or No injuries,Undetermined
Provoked,Spearfishing,M,Involved a speared shark but no other details PROVOKED INCIDENT,,empty,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Spearfishing,M,No injury,N,"Mako shark, 1.9 m [6.5'] ",Mako Shark,Diving,Minor or No injuries,Undetermined
Provoked,Hunting crayfish ,M,Abdomen abraded when he seized shark PROVOKED INCIDENT,N,"Nurse shark, 2.5' ",Nurse Shark,Other,Undetermined,Torso
Invalid,Diving / UW photography,M,"2.4 to 3 m [8' to 10'] oceanic whitetip shark  buzzed him. No attack, no injury",,Invalid,Unidentify,Diving,Minor or No injuries,Undetermined
Boating,empty,M,"No injury to occupant. Shark struck vessel, jamming centreboard",N,empty,Unidentify,Other,Minor or No injuries,Undetermined
Invalid,Netting sharks,M,"No attack, no injury to occupant: a 400-lb grey shark bit nets in the water ",,Invalid,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,Snorkeling,F,"Survived, no details",N,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Swimming,F,FATAL,Y,A pack of 6 sharks,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Diving into water,F,FATAL,Y,A pack of 6 sharks,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,White shark,White Shark,Swimming,Undetermined,Undetermined
Unprovoked,Lobster diving using Scuba,M,"No injury, but shark struck his calf",N,1.5 m to 2.1 m  [5' to 7'] shark,Unidentify,Diving,Minor or No injuries,Undetermined
Unprovoked,Attacked shark with fists,M,Arm lacerated,N,"""small shark""",Unidentify,Other,Amputations or Lacerations,Upper extremities
Invalid,Spearfishing on Scuba,M,"No attack, no injury, shark took speared fish & approached diver closely ",,Invalid,Unidentify,Diving,Minor or No injuries,Undetermined
Unprovoked,Wading,M,"No injury, mother lifted him from the water",N,Spinner or blacktip sharks,Blacktip Shark,Wading,Minor or No injuries,Undetermined
Unprovoked,Diving for sand dollars,M,Dorsum of right foot grazed,N,Lemon shark or sandtiger shark,Sand Shark,Diving,Undetermined,Lower extremities
Provoked,Killing a shark,M,"Arm bitten, PROVOKED INCIDENT",N,4' shark,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Fishing,M,Lacerations to right foot,N,empty,Unidentify,Fishing,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,"FATAL, left leg severed",Y,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,F,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Invalid,Free diving,M,No injury. A 1.1 m [3.5'] blacktip shark shark made a threat display & bit gig,,Invalid,Unidentify,Diving,Minor or No injuries,Undetermined
Boating,empty,,"No injury to occupants, sharks bit chunks from boat",N,empty,Unidentify,Other,Minor or No injuries,Undetermined
Provoked,Clamming,M,3 lacerations on  right leg by speared fish PROVOKED INCIDENT,N,"Local authorities speculated that the water was too cold for sharks, but a 2.1 m [7'], 200-lb pregnant sandbar shark was caught next day",Sand Shark,Other,Amputations or Lacerations,Lower extremities
Provoked,Fishing,M,Hand & forearm bitten by hooked shark PROVOKED INCIDENT,N,1.2 m [4'] hammerhead shark,Hammer Shark,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,Punctures on  thigh & buttock,N,a small shark,Unidentify,Swimming,Undetermined,Lower extremities
Provoked,Fishing,M,Arm lacerated by netted shark PROVOKED INCIDENT,N,empty,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Sea Disaster,Sinking of the dredge World Atlas,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Fishing,M,Foot bitten,N,1.8 m [6'] shark,Unidentify,Fishing,Amputations or Lacerations,Lower extremities
Sea Disaster,Shipwreck,M,"FATAL, other human remains bitten by sharks, 13 people missing",Y,Believed white shark and other smaller species of sharks involved.,White Shark,Boat incincidents,Amputations or Lacerations,Undetermined
Invalid,Spearfishing / Scuba diving,M,"White shark, 3.7 m [12']  made threat display. No injury, no attack",,Invalid,Unidentify,Diving,Minor or No injuries,Undetermined
Sea Disaster,The passenger ship Pioneer Cebu  capsized & sank in Typhoon Irma,M,130 perished; 136 survived  including a man whose foot was severed by a shark,Y,empty,Unidentify,Boat incincidents,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,Foot lacerated,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Sea Disaster,Overturned skiff,M,Survived,N,empty,Unidentify,Other,Undetermined,Undetermined
Provoked,Fishing (big game),,"No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT",N,"Alleged to involve a White shark, 7.6 m [25'] ",White Shark,Fishing,Minor or No injuries,Undetermined
Sea Disaster,"The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water.",M,FATAL,Y,empty,Unidentify,Boat incincidents,Undetermined,Undetermined
Unprovoked,Treading water,M,"Left leg & lower right leg bitten, taken ashore with shark still grasping his leg",N,"White shark, 2.5 m [8.25'], an immature female, previously injured",White Shark,Other,Amputations or Lacerations,Lower extremities
Provoked,Helping men land a shark,M,Left leg lacerated by hooked shark  PROVOKED INCIDENT,N,Copper shark,Unidentify,Other,Amputations or Lacerations,Lower extremities
Sea Disaster,wreck of the State Oil Company ship Permina,,Sharks said to have killed some of the 80 people lost,Y,empty,Unidentify,Boat incincidents,Undetermined,Undetermined
Unprovoked,Free diving / spearfishing (resting on the surface),M,"Hand, arm & thigh bitten",N,"White shark, 3 m [10'] ",White Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Spearfishing,M,Buttocks bitten,N,"Wobbegong shark, 5' ",Wobbegong Shark,Diving,Amputations or Lacerations,Undetermined
Sea Disaster,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,,"10 survived, 51 perished. ",Y,Shark involvement not confirmed,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Standing,M,Right calf lacerated,N,1.5 m to 1.8 m [5' to 6'] Zambesi shark,Bull Shark,Other,Amputations or Lacerations,Undetermined
Unprovoked,Jumped into the water,M,"Lower leg nipped, arm bruised when he landed in boat",N,76 cm [2.5'] carpet shark,Unidentify,Other,Undetermined,Lower extremities
Unprovoked,Body surfing,M,Lower legs bitten,N,"1.8 m to 2 m [6' to 6'9""] shark",Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Body surfing ,F,"FATAL, left leg bitten thigh to calf  ",Y,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
